	rab.all	rab.win.C	rab.win.L	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Sg_EB10_11	-1.14307581159276	-1.09242397027576	-1.30250840773953	-0.335389610362515	3.88036137501257	-0.0798749476916237	0.460691421470952	0.296039569619065	0.413573779174827	0.417643848739167	0.535024286779391
Sg_EB13_4	2.58774741114116	2.75328712891395	2.15366300152216	-0.330503967372288	2.81729066827065	-0.105818772167666	0.452868852719023	0.681925181302474	0.76889448882783	0.257575416669868	0.372536799510447
Sg_EB21_10	-0.975338689893954	-1.04118746976523	-0.823286514218683	-0.00626600565223612	2.33564630969993	-0.0032329894038112	0.498206967222918	0.943855983792304	0.953260562074054	0.92773009381581	0.951120176128369
Sg_EM03_7	-0.678974181577235	-0.282743183902554	-1.80547332891557	-1.10564226980821	4.35805659677874	-0.245402201954842	0.392573624175017	0.00988501375267942	0.027536482910833	0.0184533583597426	0.044023614207671
Sg_EM12_46	-3.34404778306544	-3.15480422786231	-3.64746979760979	-0.419457470162296	3.08419756775052	-0.125755274099778	0.439293033123775	0.106221537191609	0.181152300394184	0.180767812345011	0.282376538478673
Sg_EM22_6	0.959873793106249	1.06145326193213	0.466309372014047	-0.35356909414775	3.97129113895658	-0.0837664946399364	0.462227913139741	0.528959574392975	0.65258678010905	0.471982988303843	0.58448007501926
Sg_EM25_40	0.701076744187386	0.600748713764578	0.794342427086152	0.11718990038089	1.84503723306443	0.0607559688726873	0.470286885408938	0.931976545213457	0.944287878385341	0.530315517634948	0.63621904508349
Sg_EM30_38	2.25939245785253	1.96162919921221	2.69750387630589	0.955890520255906	2.93689225319167	0.299620176233851	0.358770807496838	0.000876950189422106	0.00423199006624608	0.00166768501981139	0.00741688610751914
Sg_EM34_4	6.80389525767809	6.9759940337752	6.18375570161177	-0.775502946839122	3.80286645076981	-0.206697030841744	0.410755442245112	0.0303213730611676	0.0698451796093265	0.0464613059983704	0.0945873119347145
Sg_G06_9	-2.82964162345709	-1.77854265569879	-3.27492493007548	-0.78964971599239	6.67581717200486	-0.124513760448508	0.436107554772371	0.175389228182855	0.277132054527494	0.199461276769201	0.306618790056197
Sg_G09_4	2.40672623913414	2.72851597729997	1.74709889790547	-1.28001404822176	3.83592875314275	-0.312285159099004	0.364754099158505	0.00124968656007403	0.00551617691455847	0.00400744843333774	0.0143505890978487
Sg_G10_35	-2.00959719524183	-2.50973894767354	-1.27732516316855	1.26643785557027	3.63315508932208	0.323642318510074	0.352368758886393	0.00242350848851122	0.00909980589033422	0.00170529067893746	0.0074791799299828
Sg_G18_19	2.2772835387502	2.60220408999224	1.67368600933926	-0.677063837133717	1.98148145786886	-0.309960668162256	0.356466069996959	0.00607779484124247	0.0191894976591864	0.0017685658914122	0.00770372443908584
Sg_G19_41	-0.254944731290054	-0.553180933808616	-0.0775281051855696	0.452463302665226	2.82001200741138	0.137947467367739	0.430071721701445	0.157714867575688	0.254214125340742	0.113450078973175	0.196991933694116
Sg_G21_58	-1.2768096943888	-1.6753175738312	-0.143860975850498	1.16581408752609	3.49068933473994	0.300471806518592	0.360399590991749	0.0534385634823377	0.102520439311152	0.00330902523857367	0.0123758219083349
Sg_G22_16	1.18779970348009	1.54143155833441	0.275432779374628	-0.870914563943594	4.1733760523936	-0.194787834838078	0.415364917249527	0.0688986013938597	0.128148790355383	0.0904556686167688	0.166512740769142
Sg_G26_10	1.03714020484635	1.84040036551458	-0.171887620149316	-1.7407794459711	5.67308191816551	-0.293517398779178	0.369364754864955	0.00562253532801322	0.0180593693896008	0.00326377043447652	0.0123401901098554
Sg_G26_22	-1.1712128629645	-1.04700975636708	-1.32410815283951	-0.352418841829535	3.39923782753179	-0.0905348155629682	0.455942623193594	0.364917940988229	0.486701238285743	0.345956195126231	0.464586903360865
Sg_G29_33	-2.3648357386376	-2.35077529057785	-2.42196294109217	-0.29814718025736	4.13035790749398	-0.0635862027214919	0.469910371483854	0.260090019575535	0.374073101277718	0.569597744084318	0.669270515448965
