	rab.all	rab.win.E	rab.win.Y	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Sg_G18_19	1.5945254694295	1.68448641759601	1.38736716309128	-0.131929842518618	1.57520019008074	-0.0750809424360652	0.462629175859803	0.762327021397606	1	0.420378466853055	0.988821226675959
Sg_G19_41	0.733734956785899	0.377370744328389	1.04667096176254	0.456923559533731	2.28890860415649	0.188807420695665	0.414423077347599	0.0515265630474737	0.183617737201352	0.0883094815976421	0.287275553038686
Sg_G21_58	-0.870919131632347	-0.980609511406692	-0.602753943818291	0.38519713548658	3.06820676915259	0.10821895098432	0.446527277357199	0.21735251340839	0.663314240959782	0.280240055892584	0.809972330067701
Sg_G22_16	-0.0968851549783558	0.185409273859809	-0.454971788240443	-1.06515964684362	4.36766997446548	-0.227004828726069	0.390144231325061	0.0451548646271931	0.204563759328705	0.0330108809552192	0.155498775338179
Sg_G26_10	-1.53362100590391	-0.10005277396117	-2.53004653149754	-2.00567354714328	4.93751515347848	-0.368191656053633	0.352644231546299	0.00175584979368371	0.0211086395909773	0.00266847522836084	0.0267348798185532
Sg_G26_22	-2.47654996502196	-1.9768458093444	-2.69539109560311	-0.924141097106005	3.91442696340318	-0.217695644799192	0.403125000484687	0.0793621847877322	0.31140011909995	0.0524955131605638	0.212836000526679
Sg_G29_33	-1.79661864996442	-2.59694696557018	-0.435002663279057	2.09106454891798	4.23784376933036	0.449638126350921	0.294881039398993	0.0000390852464438457	0.000936291572453797	0.0000354738664434581	0.000908982958877995
Sg_G33_7	-0.810627792427839	-0.544947037369157	-0.982254239102397	-0.457798698684551	2.43068266537952	-0.167266975761941	0.40999759717925	0.0567997227287931	0.244645678849613	0.0446598077812629	0.190039078437133
Sg_G39_28	1.31256673489154	2.58555618030174	0.438852518193143	-1.78021960568839	6.53158523308624	-0.252734592647023	0.379807692921961	0.0242061928364374	0.123125349628625	0.0184270882439445	0.104379380577837
Sg_G43_29	-2.93281572761406	-2.57158941690652	-3.16749080667884	-0.355111729506786	3.68272006833202	-0.0950689771782141	0.460336538653743	0.615747519995795	0.992054539515731	0.428895908315544	0.970449580869381
Sg_G47_17	-1.02005488658958	-1.05709267428516	-0.949929755126478	0.222268034670893	3.14150843829449	0.0607991548919943	0.463701923252639	0.85537785303459	1	0.51755016051237	0.999787341606535
Sg_H04_45	1.54510754038826	1.58706166073435	1.36711977268687	0.033035789426072	3.07389192611576	0.00854948799844445	0.495553953397993	0.52802161908238	1	0.923634165071531	1
Sg_I05_27	0.476992152154831	1.28584520323772	0.0405204270760393	-0.98852518787381	3.29857480242952	-0.264427258371443	0.383321317585035	0.00342684010356529	0.0290276511256937	0.016745709813565	0.0988529963395015
Sg_I06_25	0.63976114083129	0.290327749129863	1.21410620391356	1.06495260357587	3.48951188014504	0.306171841031017	0.370673077590489	0.00426158768147554	0.0238258961548581	0.00762917963913293	0.0324952514513087
Sg_I07_11	2.74026068039528	3.1499569497484	2.14797345537822	-0.497956644573978	4.8125550000652	-0.0918817931979568	0.461427541643144	0.441030614792177	1	0.429460001015191	0.999726080019505
Sg_I12_32	1.14793043239039	1.10735863195041	1.19616747125033	0.0578839219122829	1.70199616218107	0.0337634712795705	0.485460225977274	0.894883364809215	1	0.836946628907843	1
Sg_I12_44	-1.52177071650869	-0.0774486945762103	-3.06978190228042	-2.32438552620234	4.65356165222897	-0.465150313897279	0.305048078030151	0.0000503665770450093	0.0035471517126107	0.0000753892504098136	0.00677065390073803
Sg_I12_6	-0.0860413261706761	-0.893242139936817	0.824971718718961	1.57329721328446	3.48721754154687	0.42366889110084	0.314107186810876	0.000500401009907765	0.00540393991414408	0.000284010690988781	0.0037659982657183
Sg_K01_5	-0.900875532433575	-1.73631019661341	0.155076863530365	1.65645948416678	3.66865476916115	0.428085589829258	0.324519231732945	0.000565762301431297	0.00581201309082456	0.000335176879825917	0.00414493342906093
Sg_K09_1	0.242742396276518	-0.558978085921895	1.06436750199099	1.20337372785918	2.75651017023149	0.384447950527686	0.330689738964186	0.0028567234521109	0.0173246691256408	0.000585815972822848	0.00598127834814325
