ID	Domain	Phylum	Class	Order	Family	Genus	Species
Gp_meta27_179	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__UMGS1781	s__UMGS1781 sp900553695
Gp_meta27_182	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__QAND01	g__UMGS1975	s__UMGS1975 sp900546685
Gp_meta27_186	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_A	g__Aphodousia	s__Aphodousia sp900545335
Gp_meta27_19	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__HGM12669	s__HGM12669 sp900761935
Gp_meta27_191	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Lawsonibacter	s__Lawsonibacter asaccharolyticus
Gp_meta27_194	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__UBA644	g__UBA644	s__UBA644 sp014872655
Gp_meta27_197	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__Christensenellaceae	g__QANA01	s__QANA01 sp900554725
Gp_meta27_198	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter bereziniae
Gp_meta27_202	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Egerieousia	s__Egerieousia sp944325445
Gp_meta27_204	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes avicola
Gp_meta27_207	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__CALUUT01	s__
Gp_meta27_223	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter_D	s__Campylobacter_D coli
Gp_meta27_235	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Mailhella	s__Mailhella sp944322695
Gp_meta27_242	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__UBA3818	s__UBA3818 sp900557155
Gp_meta27_244	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnoclostridium_A	s__Lachnoclostridium_A sp944383765
Gp_meta27_25	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Marinifilaceae	g__Gabonibacter	s__Gabonibacter massiliensis
Gp_meta27_252	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__UMGS911	s__
Gp_meta27_260	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides sp014385165
